time,amplitude
9.979600000000e-05,-4.806392288783e-11
9.979650000000e-05,-5.124661190765e-11
9.979700000000e-05,-4.275598828350e-11
9.979750000000e-05,-2.452599473834e-11
9.979800000000e-05,-7.091012763177e-13
9.979850000000e-05,2.326955401827e-11
9.979900000000e-05,4.194793165558e-11
9.979950000000e-05,5.107127541289e-11
9.980000000000e-05,4.856130520885e-11
9.980050000000e-05,3.498964528954e-11
9.980100000000e-05,1.344764170063e-11
9.980150000000e-05,-1.115778299936e-11
9.980200000000e-05,-3.322184791658e-11
9.980250000000e-05,-4.771860663461e-11
9.980300000000e-05,-5.134580141390e-11
9.980350000000e-05,-4.327709383746e-11
9.980400000000e-05,-2.535031915289e-11
9.980450000000e-05,-1.648876680496e-12
9.980500000000e-05,2.242839567201e-11
9.980550000000e-05,4.139699680342e-11
9.980600000000e-05,5.093606308268e-11
9.980650000000e-05,4.887261923718e-11
9.980700000000e-05,3.567657664567e-11
9.980750000000e-05,1.435371967200e-11
9.980800000000e-05,-1.023894956920e-11
9.980850000000e-05,-3.249955777614e-11
9.980900000000e-05,-4.735739049064e-11
9.980950000000e-05,-5.142794342804e-11
9.981000000000e-05,-4.378388749380e-11
9.981050000000e-05,-2.616632736436e-11
9.981100000000e-05,-2.588225963789e-12
9.981150000000e-05,2.157967622077e-11
9.981200000000e-05,4.083223586677e-11
9.981250000000e-05,5.078390903664e-11
9.981300000000e-05,4.916773500005e-11
9.981350000000e-05,3.635174295810e-11
9.981400000000e-05,1.525514579666e-11
9.981450000000e-05,-9.316595084921e-12
9.981500000000e-05,-3.176637565177e-11
9.981550000000e-05,-4.698039241834e-11
9.981600000000e-05,-5.149300844830e-11
9.981650000000e-05,-4.427619900521e-11
9.981700000000e-05,-2.697374715872e-11
9.981750000000e-05,-3.526836951422e-12
9.981800000000e-05,2.072367669093e-11
9.981850000000e-05,4.025383470901e-11
9.981900000000e-05,5.061486163681e-11
9.981950000000e-05,4.944655234051e-11
9.982000000000e-05,3.701491836394e-11
9.982050000000e-05,1.615161995327e-11
9.982100000000e-05,-8.391025563111e-12
9.982150000000e-05,-3.102254374861e-11
9.982200000000e-05,-4.658773563946e-11
9.982250000000e-05,-5.154097264342e-11
9.982300000000e-05,-4.475386291447e-11
9.982350000000e-05,-2.777230914045e-11
9.982400000000e-05,-4.464397673506e-12
9.982450000000e-05,1.986068056433e-11
9.982500000000e-05,3.966198374996e-11
9.982550000000e-05,5.042897486481e-11
9.982600000000e-05,4.970897650432e-11
9.982650000000e-05,3.766588095540e-11
9.982700000000e-05,1.704284362708e-11
9.982750000000e-05,-7.462548128298e-12
9.982800000000e-05,-3.026830784188e-11
9.982850000000e-05,-4.617954859476e-11
9.982900000000e-05,-5.157181786135e-11
9.982950000000e-05,-4.521671861004e-11
9.983000000000e-05,-2.856174682244e-11
9.983050000000e-05,-5.400596468732e-12
9.983100000000e-05,1.899097368432e-11
9.983150000000e-05,3.905687790322e-11
9.983200000000e-05,5.022630830469e-11
9.983250000000e-05,4.995491817207e-11
9.983300000000e-05,3.830441285403e-11
9.983350000000e-05,1.792852000931e-11
9.983400000000e-05,-6.531470911026e-12
9.983450000000e-05,-2.950391719569e-11
9.983500000000e-05,-4.575596490205e-11
9.983550000000e-05,-5.158553163599e-11
9.983600000000e-05,-4.566461038005e-11
9.983650000000e-05,-2.934179671487e-11
9.983700000000e-05,-6.335122087967e-12
9.983750000000e-05,1.811484416114e-11
9.983800000000e-05,3.843871651197e-11
9.983850000000e-05,5.000692712377e-11
9.983900000000e-05,5.018429348961e-11
9.983950000000e-05,3.893030028363e-11
9.984000000000e-05,1.880835409599e-11
9.984050000000e-05,-5.598102945598e-12
9.984100000000e-05,-2.872962448066e-11
9.984150000000e-05,-4.531712331248e-11
9.984200000000e-05,-5.158210719206e-11
9.984250000000e-05,-4.609738746471e-11
9.984300000000e-05,-3.011219841318e-11
9.984350000000e-05,-7.267663797740e-12
9.984400000000e-05,1.723258227646e-11
9.984450000000e-05,3.780770328332e-11
9.984500000000e-05,4.977090205178e-11
9.984550000000e-05,5.039702409662e-11
9.984600000000e-05,3.954333364186e-11
9.984650000000e-05,1.968205278624e-11
9.984700000000e-05,-4.662754067511e-12
9.984750000000e-05,-2.794568569038e-11
